FooDTypeID,ParameterID,Uncertanty,Regulatory Limit,Accredited,Test Method
115,28,,,FALSE,PFL/7.2/TM/06
115,18,,,FALSE,
116,28,,,FALSE,PFL/7.2/TM/06
116,18,,,FALSE,
117,28,,,FALSE,PFL/7.2/TM/06
117,18,,,FALSE,
118,28,,,FALSE,
120,28,,,FALSE,
132,18,,,FALSE,
132,25,,,FALSE,PFL/7.2/TM/06
132,33,,,FALSE,SLS 898: 2017 - Appendix B
132,47,,,FALSE,SLS 1549: Part 4
132,1,,,FALSE,SLS 898: 2017 - Appendix C
133,28,,,FALSE,PFL/7.2/TM/06
133,25,,,FALSE,PFL/7.2/TM/15
134,28,,,FALSE,PFL/7.2/TM/06
134,25,,,FALSE,PFL/7.2/TM/06
135,28,,,FALSE,PFL/7.2/TM/06
135,25,,,FALSE,PFL/7.2/TM/06
136,28,,,FALSE,PFL/7.2/TM/06
136,25,,,FALSE,PFL/7.2/TM/06
137,28,,,FALSE,PFL/7.2/TM/06
137,25,,,FALSE,PFL/7.2/TM/15
137,28,,,FALSE,PFL/7.2/TM/06
138,14,,,FALSE,PFL/7.2/TM/03
138,25,,,FALSE,PFL/7.2/TM/06
139,28,,,FALSE,PFL/7.2/TM/06
139,25,,,FALSE,PFL/7.2/TM/06
140,28,,,FALSE,PFL/7.2/TM/06
140,25,,,FALSE,PFL/7.2/TM/06
141,35,,,FALSE,
141,50,,<2,FALSE,APHA 2130B
141,37,,6.5 - 8.5,FALSE,APHA 4500 - H+ -B
141,12,,<250,FALSE,APHA 4500 - Cl - B
141,7,,<200,FALSE,APHA 2320B
141,27,,<250,FALSE,APHA 2340 C
141,22,,<0.06,FALSE,USEPA 8038
141,31,,<0.3,FALSE,USEPA 8008
141,34,,<50,FALSE,USEPA 8039
141,9,,,FALSE,
141,13,,,FALSE,
142,35,,,FALSE,
142,50,,<2,FALSE,APHA 2130B
142,37,,6.5 - 8.5,FALSE,APHA 4500 - H+ -B
142,12,,<250,FALSE,APHA 4500 - Cl - B
142,7,,<200,FALSE,APHA 2320B
142,27,,<250,FALSE,APHA 2340 C
142,22,,<0.06,FALSE,USEPA 8038
142,31,,<0.3,FALSE,USEPA 8008
142,34,,<50,FALSE,USEPA 8039
142,21,,<1.0,FALSE,USEPA 8029
142,9,,,FALSE,
142,13,,,FALSE,
143,48,,,FALSE,APHA 2540C
144,37,,,FALSE,
144,48,,,FALSE,APHA 2540C
